,a1,a2,a3,a4,C,fitness
270,0.0,0.125,-1.0,0.75,-0.125,5
271,0.0,0.125,-1.0,0.625,-0.125,8
272,0.0,0.25,-1.0,0.875,0.375,0
273,0.0,0.125,-1.0,0.5,-0.125,3
274,0.0,0.125,-1.0,0.5,-0.125,8
275,0.0,0.125,-1.0,0.625,-0.125,1
276,0.0,0.125,-1.0,0.625,-0.125,2
277,0.0,0.125,-1.0,0.625,-0.125,1
278,-0.5,0.125,-1.0,0.625,-0.125,0
279,0.0,0.125,-1.0,0.75,-0.125,1
280,0.375,0.0,-1.0,0.5,-0.125,1
281,0.375,0.0,-1.0,0.5,-0.125,2
282,0.25,0.0,-1.0,0.625,0.375,0
283,0.25,0.0,-1.0,0.5,-0.125,10
284,-0.375,0.125,-1.0,0.5,-0.125,0
285,0.125,0.0,-1.0,0.625,-0.125,3
286,0.125,0.125,-1.0,0.25,-0.125,1
287,0.0,0.0,-1.0,0.5,-0.125,4
288,0.375,0.125,-1.0,0.5,-0.125,2
289,0.0,0.125,-1.0,0.5,-0.125,1
290,0.125,0.125,-1.0,0.5,-0.125,1
291,0.0,0.0,-1.0,0.625,-0.125,2
292,0.125,0.125,-1.0,0.625,-0.125,1
293,0.75,0.0,-1.0,0.625,-0.125,2
294,0.25,-0.5,-1.0,0.625,-0.125,0
295,0.25,0.125,-1.0,0.625,-0.125,3
296,0.125,0.0,-1.0,0.75,-0.125,1
297,0.5,0.125,-1.0,0.625,0.375,0
298,-0.125,0.125,-1.0,0.75,-0.125,2
299,0.125,0.125,-1.0,0.5,-0.125,1
300,0.125,0.0,-1.0,0.5,-0.125,2
301,0.0,0.0,-1.0,0.5,-0.125,1
302,0.125,0.0,-1.0,0.5,-0.125,8
303,0.0,0.0,-1.0,0.5,-0.125,1
304,0.125,0.0,-1.0,0.5,-0.125,5
305,0.125,0.0,-1.0,0.5,-0.125,4
306,0.125,0.0,-1.0,0.5,-0.125,3
307,0.125,0.0,-1.0,0.25,-0.125,1
308,0.125,0.0,-1.0,0.5,-0.125,3
309,0.0,0.0,-1.0,0.5,-0.125,5
310,0.0,0.0,-1.0,0.5,-0.125,6
311,0.0,0.0,-1.0,0.5,-0.125,2
312,0.0,-0.5,-1.0,0.5,-0.125,0
313,0.25,0.0,-1.0,0.5,0.375,0
314,0.125,0.0,-1.0,0.5,-0.125,2
315,0.0,-0.5,-1.0,0.25,-0.125,1
316,0.125,0.0,-1.0,0.5,0.375,0
317,0.0,0.0,-1.0,0.5,-0.125,6
318,0.125,0.0,-1.0,0.5,-0.125,6
319,0.125,0.0,-1.0,0.5,0.375,0
320,0.0,0.0,-1.0,0.5,-0.125,4
321,0.0,0.0,-1.0,0.5,-0.125,2
322,0.0,-0.5,-1.0,0.5,-0.125,0
323,0.0,0.0,-1.0,0.5,-0.125,3
324,0.0,0.0,-1.0,0.75,-0.125,3
325,0.0,0.0,-1.0,0.75,-0.125,8
326,0.0,0.0,-1.0,0.75,-0.125,1
327,0.0,0.0,-1.0,0.75,-0.125,3
328,0.0,0.0,-1.0,0.5,-0.125,3
329,0.0,0.0,-1.0,0.75,-0.125,2
330,0.0,0.0,-1.0,0.75,-0.125,2
331,0.0,0.0,-1.0,0.75,-0.125,1
332,0.0,0.0,-1.0,0.5,-0.125,3
333,0.0,-0.5,-1.0,0.75,-0.125,0
334,0.0,0.0,-1.0,0.75,-0.125,7
335,0.0,0.0,-1.0,0.75,-0.125,3
336,0.0,0.0,-1.0,0.5,-0.125,1
337,0.0,0.0,-1.0,0.5,-0.125,6
338,0.0,0.0,-1.0,0.625,-0.125,2
339,0.0,0.0,-1.0,0.75,0.375,0
340,0.0,0.0,-1.0,0.75,-0.125,5
341,0.0,0.0,-1.0,0.375,-0.125,3
342,0.0,0.0,-1.0,0.375,-0.125,17
343,0.0,0.0,-1.0,0.375,-0.125,16
344,0.0,0.0,-1.0,0.875,-0.125,1
345,0.0,0.0,-1.0,0.25,-0.125,2
346,0.0,0.0,-1.0,0.875,-0.125,3
347,0.0,0.0,-1.0,0.875,-0.125,0
348,0.125,0.0,-1.0,0.75,-0.125,4
349,0.0,0.0,-1.0,0.25,-0.125,1
350,0.125,0.0,-1.0,0.75,-0.125,2
351,0.125,0.0,-1.0,0.25,-0.125,3
352,0.125,0.0,-1.0,0.75,-0.125,2
353,-0.5,0.0,-1.0,0.875,-0.125,0
354,0.125,0.0,-1.0,0.25,-0.125,1
355,0.0,0.0,-1.0,0.5,0.375,0
356,0.0,0.0,-1.0,0.25,-0.125,3
357,0.125,0.0,-1.0,0.375,-0.125,3
358,0.0,0.0,-1.0,0.75,-0.125,4
359,0.0,0.0,-1.0,0.25,-0.125,2
360,0.0,0.125,-1.0,0.5,-0.125,1
361,0.0,0.125,-1.0,0.5,-0.125,1
362,0.0,0.125,-1.0,0.25,-0.125,1
363,0.0,0.125,-1.0,0.5,-0.125,1
