,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
630,0.75,-0.75,0.875,-1.0,0.75,0.875,-0.625,0.875,-0.75,0.5,-0.625,0.375,0.875,-0.5,0.125,-0.625,0.875,-0.75,0.625,0
631,0.75,-0.75,0.875,-1.0,-0.25,0.875,-0.125,0.625,-0.875,0.75,-0.875,-0.625,-0.125,-1.0,0.625,-0.625,0.875,-0.75,0.125,0
632,0.75,0.25,0.75,-0.75,0.75,0.75,-0.75,0.625,-0.75,0.75,-0.875,0.75,0.75,0.0,0.125,-0.625,0.875,-0.75,0.75,0
633,0.25,-0.25,0.75,-1.0,0.75,0.875,-0.25,0.625,-0.625,0.25,0.375,0.75,-0.25,0.0,0.5,-0.875,0.875,-0.75,0.25,1
634,0.75,-0.125,0.75,-0.75,-0.75,0.25,-0.125,0.875,-0.75,0.0,0.25,-0.75,0.875,-0.5,0.125,-0.375,0.875,-0.75,0.0,0
635,0.75,0.875,0.625,-1.0,-0.75,0.75,-0.75,0.625,-0.875,0.5,0.375,-0.25,-0.25,-1.0,0.5,-0.875,0.875,-0.75,0.25,0
636,0.25,0.75,0.625,-1.0,-0.75,0.25,-0.125,0.625,-0.875,0.25,-0.125,-0.125,0.75,0.5,0.125,-0.875,0.875,-0.75,0.375,0
637,0.75,-0.75,0.625,-0.75,0.75,0.75,-0.75,0.625,-0.5,0.75,-0.75,-0.75,-0.125,-0.75,0.0,-0.875,0.875,-0.75,0.125,1
638,0.25,0.75,0.875,-0.75,0.25,0.625,-0.625,0.875,-0.625,0.25,0.5,-0.625,0.875,0.0,0.375,-0.875,0.875,-0.75,0.0,0
639,0.25,-0.25,0.5,-0.75,-0.75,-0.125,-0.625,0.625,-0.875,0.25,-0.125,0.25,0.375,0.0,0.0,-0.875,0.875,-0.75,0.0,3
640,0.875,-0.375,0.875,-0.875,0.5,0.875,0.75,0.25,-0.625,-1.0,0.5,-1.0,0.75,-0.375,0.625,-0.75,0.875,-0.625,-0.125,0
641,0.875,-0.125,0.5,-0.875,0.75,-0.125,0.5,0.875,-0.75,0.0,0.5,-0.75,-0.125,0.5,-0.125,-0.75,0.875,-0.875,-0.125,0
642,0.625,-0.25,0.375,-0.875,0.75,0.5,0.5,0.75,-0.75,-1.0,0.5,-0.75,-0.125,0.75,-0.375,-0.875,-0.125,-0.875,-0.125,9
643,0.875,-0.25,0.0,-1.0,0.75,0.5,-0.5,0.625,0.0,-1.0,0.5,-0.75,0.625,0.5,-0.625,-1.0,0.25,-0.875,-0.125,0
644,0.625,-0.25,0.5,-1.0,0.5,0.625,-0.25,0.75,-1.0,0.0,0.75,-0.5,0.875,0.625,0.375,-0.625,-0.25,-0.625,-0.125,0
645,0.5,-0.125,0.625,-1.0,0.5,-0.25,0.5,0.875,0.0,0.0,0.75,-1.0,-0.25,0.375,0.375,-1.0,-0.25,-0.875,-0.125,0
646,0.5,-0.125,0.5,-0.875,0.75,-0.375,0.5,0.75,-1.0,-1.0,0.75,-1.0,-0.25,0.625,0.625,-0.625,-0.125,-0.875,-0.125,0
647,0.5,0.25,0.875,-0.75,0.5,-0.375,-0.5,0.75,-0.75,0.0,0.5,-0.75,0.75,0.375,-0.875,-0.625,-0.125,-0.625,-0.125,0
648,0.625,-0.25,0.0,-0.875,0.5,-0.5,-0.5,0.625,-0.625,-1.0,0.5,-1.0,0.75,0.0,-0.625,-0.75,0.75,-0.875,-0.125,0
649,0.75,-0.125,0.0,-1.0,0.5,0.75,0.5,0.875,-0.875,-1.0,0.5,-1.0,0.75,0.625,0.125,-0.625,-0.125,-0.625,-0.125,0
